Iterations, Xl, Xh, Xm, Error(%), f(Xm)
160,15.900894 ,20.000004 ,15.901927 ,0.000065 ,-0.000176 
161,15.901927 ,20.000004 ,15.902911 ,0.000062 ,-0.000168 
162,15.902911 ,20.000004 ,15.903850 ,0.000059 ,-0.000160 
163,15.903850 ,20.000004 ,15.904744 ,0.000056 ,-0.000153 
164,15.904744 ,20.000004 ,15.905597 ,0.000054 ,-0.000146 
165,15.905597 ,20.000004 ,15.906410 ,0.000051 ,-0.000139 
166,15.906410 ,20.000004 ,15.907186 ,0.000049 ,-0.000133 
167,15.907186 ,20.000004 ,15.907925 ,0.000046 ,-0.000126 
168,15.907925 ,20.000004 ,15.908629 ,0.000044 ,-0.000121 
169,15.908629 ,20.000004 ,15.909301 ,0.000042 ,-0.000115 
170,15.909301 ,20.000004 ,15.909941 ,0.000040 ,-0.000110 
171,15.909941 ,20.000004 ,15.910552 ,0.000038 ,-0.000104 
172,15.910552 ,20.000004 ,15.911133 ,0.000037 ,-0.000100 
173,15.911133 ,20.000004 ,15.911688 ,0.000035 ,-0.000095 
174,15.911688 ,20.000004 ,15.912217 ,0.000033 ,-0.000091 
175,15.912217 ,20.000004 ,15.912721 ,0.000032 ,-0.000086 
176,15.912721 ,20.000004 ,15.913202 ,0.000030 ,-0.000082 
177,15.913202 ,20.000004 ,15.913660 ,0.000029 ,-0.000078 
178,15.913660 ,20.000004 ,15.914096 ,0.000027 ,-0.000075 
179,15.914096 ,20.000004 ,15.914513 ,0.000026 ,-0.000071 
180,15.914513 ,20.000004 ,15.914909 ,0.000025 ,-0.000068 
181,15.914909 ,20.000004 ,15.915288 ,0.000024 ,-0.000065 
182,15.915288 ,20.000004 ,15.915648 ,0.000023 ,-0.000062 
183,15.915648 ,20.000004 ,15.915992 ,0.000022 ,-0.000059 
184,15.915992 ,20.000004 ,15.916320 ,0.000021 ,-0.000056 
185,15.916320 ,20.000004 ,15.916632 ,0.000020 ,-0.000054 
